,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,소재지주소
4884,B000005476,쌍봉초등학교,초등학교,1941-04-27,공립,본교,운영,충청북도 음성군 금왕읍 쌍봉리  413,충청북도 음성군 금왕읍 금일로371번길  58-17,8000000,충청북도교육청,8101000,충청북도음성교육지원청,2013-11-29,,37.0030273,127.5421291,2017-09-05,충청북도 음성군 금왕읍
4885,B000005688,서림초등학교,초등학교,1992-05-06,공립,본교,운영,충청남도 서산시 석남동  64-1,충청남도 서산시 덕지천로  104(석남동),8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.7678203,126.46038600000001,2017-09-05,충청남도 서산시 석남동
4886,B000005689,오산초등학교,초등학교,1948-08-30,공립,본교,운영,충청남도 서산시 오남동  305-6,충청남도 서산시 덕지천로  436(오남동),8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.7455717,126.48258600000001,2017-09-05,충청남도 서산시 오남동
4887,B000005690,서동초등학교,초등학교,1964-04-01,공립,본교,운영,충청남도 서산시 동문동  90,충청남도 서산시 쌍연남1로  19-5(동문동),8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.7832671,126.46725190000001,2017-09-05,충청남도 서산시 동문동
4888,B000005691,서산동문초등학교,초등학교,2009-04-22,공립,본교,운영,충청남도 서산시 동문동 11,충청남도 서산시 쌍연북2로 31(동문동),8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,2017-06-21,36.787968799999994,126.4661689,2017-09-05,충청남도 서산시 동문동
4889,B000005692,서산초등학교,초등학교,1911-10-05,공립,본교,운영,충청남도 서산시 동문동  966,충청남도 서산시 번화2로  50-3(동문동),8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.78026079999999,126.4543978,2017-09-05,충청남도 서산시 동문동
4890,B000005693,부춘초등학교,초등학교,1956-05-08,공립,본교,운영,충청남도 서산시 읍내동  130,충청남도 서산시 양유정3로  9(읍내동),8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.779098499999996,126.4463498,2017-09-05,충청남도 서산시 읍내동
4891,B000005694,학돌초등학교,초등학교,2001-09-01,공립,본교,운영,충청남도 서산시 읍내동  624-2,충청남도 서산시 부춘1로  35(읍내동),8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.7850342,126.4442216,2017-09-05,충청남도 서산시 읍내동
4892,B000005695,서산예천초등학교,초등학교,2008-05-01,공립,본교,운영,충청남도 서산시 예천동  78-4,충청남도 서산시 예천1로  3-21(예천동),8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,2013-11-29,36.769544200000006,126.4495757,2017-09-05,충청남도 서산시 예천동
4893,B000005696,서산석림초등학교,초등학교,2004-03-01,공립,본교,운영,충청남도 서산시 석림동  457-7,충청남도 서산시 동서1로  41-6(석림동),8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.7696769,126.4650019,2017-09-05,충청남도 서산시 석림동
4894,B000005697,서산대진초등학교,초등학교,2004-03-01,공립,본교,운영,충청남도 서산시 대산읍 기은리  612-19,충청남도 서산시 대산읍 기은아섬길  16,8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.9774038,126.3838013,2017-09-05,충청남도 서산시 대산읍
4895,B000005698,명지초등학교,초등학교,1956-05-09,공립,본교,운영,충청남도 서산시 대산읍 대로리  278,충청남도 서산시 대산읍 명지3로  25,8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.9714946,126.4096271,2017-09-05,충청남도 서산시 대산읍
4896,B000005699,대산초등학교,초등학교,1922-03-31,공립,본교,운영,충청남도 서산시 대산읍 대산리  97-2,충청남도 서산시 대산읍 구진로  40-5,8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.9399141,126.43455790000002,2017-09-05,충청남도 서산시 대산읍
4897,B000005700,고북초등학교,초등학교,1930-05-30,공립,본교,운영,충청남도 서산시 고북면 기포리  218,충청남도 서산시 고북면 고북3로  19,8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.667145899999994,126.53068209999999,2017-09-05,충청남도 서산시 고북면
4898,B000005701,언암초등학교,초등학교,1949-09-30,공립,본교,운영,충청남도 서산시 해미면 기지리  1-19,,8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.707874100000005,126.5109277,2017-09-05,충청남도 서산시 해미면
4899,B000005702,해미초등학교,초등학교,1912-05-10,공립,본교,운영,충청남도 서산시 해미면 반양리  408-8,,8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.717586499999996,126.54319109999999,2017-09-05,충청남도 서산시 해미면
4900,B000005703,운산초등학교,초등학교,1921-09-01,공립,본교,운영,충청남도 서산시 운산면 용장리  369,충청남도 서산시 운산면 운암로  1037,8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.8121211,126.5826229,2017-09-05,충청남도 서산시 운산면
4901,B000005704,운신초등학교,초등학교,1935-05-20,공립,본교,운영,충청남도 서산시 운산면 신창리  304-1,,8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.756477200000006,126.5618273,2017-09-05,충청남도 서산시 운산면
4902,B000005705,음암초등학교,초등학교,1929-06-20,공립,본교,운영,충청남도 서산시 음암면 도당리  1300-1,,8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.8006038,126.5186395,2017-09-05,충청남도 서산시 음암면
4903,B000005706,동암초등학교,초등학교,1956-04-09,공립,본교,운영,충청남도 서산시 음암면 신장리  228-12,충청남도 서산시 음암면 동암마을길  14-3,8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,,36.761996200000006,126.51171129999999,2017-09-05,충청남도 서산시 음암면
